#############################
# Croatia (CRO), hr

zagreb,       NK Dinamo Zagreb       # todo: change key to dinamozagreb ???
hajduksplit,  HNK Hajduk Split
rnksplit,     RNK Split
koprivnica,   NK Slaven Koprivnica
varazdin,     NK Varaždin
rijeka,       HNK Rijeka
osijek,       NK Osijek
cibalia,      HNK Cibalia
sibenik,      HNK Šibenik
