#######################
# Greece (GRE), gr

Key,             Name
olympiacos,      Olympiakos Piräus
panathinaikos,   Panathinaikos FC
paok,            PAOK FC
aekathens,       AEK Athens FC
thessaloniki,    Aris Thessaloniki FC
atromitos,       Atromitos FC
tripolis,        Asteras Tripolis FC
olympiacosvolou, Olympiacos Volou FC
larissa,         Larissa FC
