#########################################
# Scotland (SCO),  sco

## note: three letter codes from wikipedia

Name,             Code
Celtic FC,        CEL
Motherwell FC,    MOT
Dundee United,    DND
Dundee FC,        DUN
Aberdeen FC,      ABE
St Johnstone,     STJ
Inverness CT,     INV
Kilmarnock FC,    KIL
Partick Thistle,  PAR
Ross County,      ROS
St Mirren,        STM
Hamilton Accies,  HAM
