#######################
# Ireland (IRL), ie

Key,           Name
saintpatricks, Saint Patrick's Athletic FC
shamrock,      Shamrock Rovers FC
bohemian,      Bohemian FC
sligorovers,   Sligo Rovers FC
derrycity,     Derry City FC
fingal,        Sporting Fingal FC
dundalk,       Dundalk FC
corkcity,      Cork City FC
drogheda,      Drogheda United FC
