################################
# Finland (FIN), fi

Key,         Name
helsinki,    HJK Helsinki
interturku,  FC Inter Turku
tpsturku,    TPS Turku
honkaespoo,  FC Honka Espoo
kuopio,      KuPS Kuopio
myllykosken, Myllykosken Pallo-47
lahti,       FC Lahti
jyvaskyla,   JJK Jyväskylä
haka,        Valkeakosken Haka
tampere,     Tampere United
