#########################
#  Turkey (TUR), tr

galatasaray,   Galatasaray Istanbul
fenerbahce,    Fenerbahçe SK
besiktas,      Beşiktaş JK
trabzonspor,   Trabzonspor AŞ
bursaspor,     Bursaspor
sivasspor,     Sivasspor
eskisehirspor, Eskişehirspor
gaziantepspor, Gaziantepspor
kayserispor,   Kayserispor
