#############################
# Hungary (HUN), hu

budapesthonved, Budapest Honvéd FC
mtkbudapest,    MTK Budapest
ferencvarosi,   Ferencvárosi TC
videoton,       Videoton FC
debreceni,      Debreceni VSC
gyori,          Győri ETO FC
paksi,          Paksi SE
kecskemeti,     Kecskeméti TE
ujpest,         Újpest FC
szombathelyi,   Szombathelyi Haladás
zalaegerszegi,  Zalaegerszegi TE
