Key,          Name
borissow,     BATE Borissow
gomel,        FC Gomel
dinamominsk,  FC Dinamo Minsk
parizanminsk, FC Partizan Minsk
fcminsk,      FC Minsk
dneprmogilev, FC Dnepr Mogilev
soligorsk,    FC Shakhtyor Soligorsk
novopolotsk,  FC Naftan Novopolotsk
zhodino,      FC Torpedo Zhodino
